,sender prefixes,nb of bytes,% of traffic (bytes)
1,139.91.0.0,954201528253,29.850320170467775
12,178.2.0.0,266294353932,8.330495696240856
16,117.249.0.0,166329545688,5.203293062929171
52,167.76.0.0,131581562634,4.116270679576969
23,115.156.0.0,124101050356,3.8822575493043363
7,198.69.0.0,90536554870,2.8322582494167436
45,218.66.0.0,55581755280,1.7387660170511485
1203,31.2.0.0,54674233476,1.7103759803461374
2729,157.225.0.0,49473082054,1.5476681763814608
2431,107.144.0.0,42133894096,1.318076099811809
31,172.64.0.0,39173026925,1.2254511873382428
2415,198.185.0.0,37649825158,1.1778008125663457
2601,138.49.0.0,32242200254,1.0086338913586952
2191,212.74.0.0,30153031490,0.9432783509942646
5583,193.218.0.0,26162739612,0.8184499089878967
8,10.119.0.0,25973081803,0.8125168370383637
1100,110.4.0.0,22079142228,0.6907025875359397
9,124.209.0.0,21867766743,0.6840901207596709
1968,62.242.0.0,21605572977,0.6758879039007962
2187,208.231.0.0,18801249086,0.588160140394378
2,199.80.0.0,18365405314,0.5745256242536171
2361,45.189.0.0,17949669214,0.5615201371274937
5069,212.10.0.0,17142213427,0.5362604691728892
1142,98.122.0.0,16102697974,0.5037412704759326
889,133.38.0.0,14545523120,0.4550281144213586
2667,175.45.0.0,14422101493,0.45116711129693976
1962,104.96.0.0,14199065033,0.4441898538271504
1988,24.194.0.0,14150416546,0.44266798148701947
2594,94.69.0.0,13752644523,0.43022446521730295
2382,104.240.0.0,13191774022,0.4126787334894644
63,73.145.0.0,12347874267,0.3862789875944335
12697,108.230.0.0,12288279045,0.3844146681559737
1491,166.32.0.0,11545670913,0.3611836316872126
4029,169.45.0.0,11091238675,0.3469676119068654
4306,166.79.0.0,10979806943,0.3434816890919652
17,24.44.0.0,10935219508,0.3420868587852409
1997,8.241.0.0,10794204182,0.3376754713524943
1160,199.160.0.0,10377822455,0.32464978705408604
76,99.185.0.0,10102604431,0.31604013187136526
1115,213.155.0.0,10102298271,0.31603055425725257
64,168.119.0.0,9622866296,0.30103246681977863
2509,159.136.0.0,9436848107,0.29521325323148484
3283,189.49.0.0,8902334395,0.278492041866505
1192,5.216.0.0,8674579305,0.2713671713274682
