,dest prefixes,nb of bytes,% of traffic (bytes)
2,139.91.67.0,327654397442,10.250024108441945
12,139.91.31.0,207713357744,6.497904319743808
9,139.91.154.0,146794853485,4.592188595554559
0,139.91.110.0,115296907379,3.6068372330413925
157,139.91.7.0,49844617894,1.559290945210084
126,139.91.207.0,40903484726,1.2795851599550188
66,139.91.64.0,35284649686,1.1038109445897166
6,139.91.108.0,35156827269,1.0998122713960166
234,139.91.71.0,32199438577,1.007296176304085
20,139.91.9.0,26645729841,0.833559309411153
183,139.91.210.0,20200280614,0.6319260931861723
31,139.91.106.0,19621076569,0.6138068325526934
17,139.91.15.0,19474568961,0.6092236298678096
16,139.91.105.0,18936183205,0.5923812892133747
24,139.91.3.0,16391547786,0.5127773693649855
198,139.91.206.0,14987104230,0.4688421119097756
21,139.91.72.0,14595570409,0.4565937455339487
79,139.91.21.0,14330660389,0.44830655600508396
166,139.91.99.0,13651779817,0.42706911105064954
46,139.91.0.0,13643565879,0.42681215413756507
115,139.91.204.0,13133331228,0.4108504654969045
11,139.91.193.0,12667536846,0.39627900336378313
15,139.91.13.0,12308991436,0.38506261461648494
121,139.91.2.0,12239857343,0.3828998903390221
62,139.91.18.0,12131551645,0.3795117593563511
201,139.91.253.0,11895574725,0.3721296850185146
33,139.91.86.0,9714095257,0.3038863856346593
42,139.91.213.0,9547794639,0.29868399751761743
30,139.91.23.0,9543682677,0.2985553628648795
48,139.91.252.0,8848951699,0.27682206909871854
55,139.91.237.0,8830899701,0.2762573478065579
8,139.91.19.0,8249326889,0.25806398495120486
139,139.91.29.0,8134236140,0.2544635969780282
171,139.91.6.0,8024579448,0.2510332028022535
26,139.91.1.0,7679381842,0.24023437387976732
7,139.91.91.0,7216686484,0.22575985862408943
226,139.91.78.0,6969059697,0.21801334108468937
3,139.91.117.0,6793840863,0.21253196410096978
27,139.91.52.0,6269397913,0.19612579673996566
5,139.91.89.0,5644658982,0.17658206665660614
103,139.91.128.0,5609614325,0.17548576341170413
22,139.91.62.0,5085328652,0.15908451615265587
50,139.91.61.0,4423536203,0.13838163955465263
128,139.91.219.0,4093572068,0.12805935984445926
64,139.91.127.0,4007229046,0.12535828803219282
224,139.91.225.0,3980034875,0.1245075718185994
78,139.91.163.0,3498254447,0.10943601764283213
34,139.91.63.0,3494682615,0.10932427989599543
176,139.91.60.0,3365361178,0.10527871280659601
95,139.91.119.0,3312465075,0.10362396214484546
233,139.91.114.0,3202656667,0.1001888218320747
10,139.91.46.0,3168599180,0.09912340026121132
205,139.91.69.0,3114943327,0.09744488231332882
98,139.91.126.0,3052597652,0.09549452035635186
138,139.91.14.0,2972461677,0.09298762381500787
18,139.91.83.0,2766816288,0.08655441183465272
61,139.91.131.0,2618148610,0.08190363560353002
29,139.91.255.0,2606912964,0.08155215049216567
43,139.91.215.0,2501924302,0.07826778646404804
227,139.91.58.0,2230301623,0.06977060458617496
146,139.91.85.0,2172581575,0.06796494628230569
108,139.91.254.0,2106877401,0.06590952028227931
189,139.91.22.0,2053208079,0.06423058098319327
109,139.91.57.0,2004818064,0.06271679443178381
154,139.91.17.0,1998458979,0.06251786295072786
