,sp,ibyt
31,443,1082609028484
15,80,969207034633
6300,8080,191840531703
7,22,124459603816
6597,8443,103859067410
3335,4500,53631334018
54810,61817,49703575265
50,993,34229809815
33290,40018,29349232006
56092,63099,28511972053
924,1935,25803787445
6861,8777,20202499990
24475,30546,20005985045
216,1194,12628616760
41960,48958,11677207182
48464,55470,10894113208
35329,42128,10771683084
2772,3899,10121964382
52340,59347,8719768652
20,110,6409085147
6232,8000,5275747856
51,995,5274630476
42508,49514,4880040164
17119,21419,3723926322
57247,64254,3651723587
24,143,3532522620
0,0,3345708374
34462,41236,3222662521
13010,16402,2796620640
42197,49203,2736329516
46027,53033,2555044550
16007,20054,2551139108
8162,10396,2480794042
24298,30325,2454119144
1273,2309,2381260923
43102,50108,2362797637
28200,34750,2176772979
2547,3673,2117696949
26545,33048,1958638946
40991,47955,1910846696
44108,51114,1897114998
34303,41071,1814865353
48121,55127,1792516457
6393,8192,1726651712
53678,60685,1689320686
29435,36026,1681302678
44168,51174,1640470784
42539,49545,1544677985
29423,36014,1518865373
49083,56089,1331645881
13,53,1300024054
55103,62110,1186314423
52382,59389,1180693513
65165,182,1109447348
7202,9211,993554272
4594,5938,982751384
50538,57545,941693310
6303,8083,932892711
2934,4070,919683955
44941,51947,898970448
41440,48417,880212851
49771,56777,859784305
52916,59923,844126751
50688,57695,836650701
42809,49815,809796047
7838,10016,795121150
48949,55955,762497452
56242,63249,731764378
37975,44849,728154881
10,25,725852353
12367,15597,715030892
34873,41657,706732588
42998,50004,667163104
6772,8661,644348986
47161,54167,634364748
44878,51884,632110864
46961,53967,616583593
44255,51261,609094527
58329,65336,604887113
44253,51259,586854995
6301,8081,583602282
47673,54679,579130743
32804,39511,578488942
59739,11069,566909183
19112,23834,564515118
46791,53797,555569508
44163,51169,551672756
13086,16499,547327672
55240,62247,538395739
44628,51634,535722456
2874,4005,524479582
25357,31610,516932174
43331,50337,504859356
47273,54279,487165582
45552,52558,465040117
43459,50465,459701520
1899,3000,442200869
19822,24712,436915140
48606,55612,436128606
7105,9090,435821156
25975,32400,435657771
20734,25869,434866514
44534,51540,434658674
64178,19234,430386608
49320,56326,428310066
31653,38329,427337544
49286,56292,426461700
48646,55652,426412132
49804,56811,426365257
49722,56728,425839991
49398,56404,425299019
49775,56782,424484008
49650,56656,424462311
49748,56754,424367548
49695,56701,424312372
49388,56394,417052314
42108,49114,414973305
4016,5223,412488901
42996,50002,408128931
44864,51870,406356280
45778,52784,404885794
2192,3306,402608317
44497,51503,402584948
50207,57214,400602303
44478,51484,399353568
8375,10658,397881820
53,1018,396641710
45780,52786,392174066
47342,54348,391784499
47022,54028,391698125
45492,52498,391336205
44460,51466,387509405
45841,52847,385467758
35227,42023,384540013
18067,22555,384453244
34403,41175,383532105
28815,35382,378903893
47829,54835,378858545
43329,50335,378701932
46782,53788,376485876
45844,52850,373894711
44462,51468,372440040
1568,2638,367838403
5275,6810,365363332
48425,55431,364501426
2371,3494,364040658
20238,25252,361680887
49360,56366,361318211
46914,53920,358577774
27212,33730,358020146
5987,7692,356766889
47363,54369,355811190
29223,35808,354857429
30360,36999,354157699
45840,52846,344896402
43105,50111,344296585
50726,57733,344095728
45779,52785,343742149
44138,51144,341689351
46162,53168,340691569
46163,53169,340427302
53008,60015,339865489
17824,22271,339196089
43103,50109,338776557
2191,3305,335856504
51218,58225,332769438
63793,571,331292604
46161,53167,330687901
54498,61505,330048524
38437,45324,329434731
53146,60153,329211921
33,465,329081326
16905,21148,328940011
1022,2048,327288084
50617,57624,326747200
45550,52556,325536702
53882,60889,324934900
38573,45462,323369789
49255,56261,323266625
59023,6760,322775920
43104,50110,320853046
49256,56262,313114628
49681,56687,312422336
49449,56455,312117876
16432,20560,311582986
49761,56767,310157537
49299,56305,309367189
49790,56797,308679274
48630,55636,308531293
45551,52557,307852435
49734,56740,307279295
49369,56375,307240937
49708,56714,306773004
47580,54586,298836130
65286,548,298783409
49353,56359,298644731
43233,50239,296455453
18791,23438,296439548
42698,49704,294330797
42359,49365,294212342
7828,10006,294202833
46160,53166,293107320
14130,17797,290198150
12936,16312,289684505
