,sender prefixes,nb of bytes,% of traffic (bytes)
0,139.91.110.0,248350438019,7.769155539832112
91,139.91.126.0,188855313632,5.907967458541517
2,139.91.117.0,101752516380,3.1831275701839323
10,139.91.193.0,86892274122,2.718254085832939
1,139.91.67.0,35795582570,1.1197944760780216
14,139.91.97.0,35391952050,1.1071676882393653
35,139.91.21.0,32012198572,1.0014387406026322
4,139.91.115.0,28309813139,0.8856168861020774
25,139.91.1.0,27494356028,0.8601069124456733
115,139.91.64.0,19526424484,0.6108458280286018
8,139.91.31.0,19235515480,0.6017453113633534
12,139.91.120.0,19106965528,0.597723878666506
85,139.91.237.0,18012898826,0.5634981513169177
87,139.91.167.0,10841217333,0.33914618541867475
5,139.91.154.0,9340470938,0.29219828284358323
63,139.91.160.0,5707282349,0.17854111566224456
22,139.91.9.0,5567038668,0.17415386762733578
9,139.91.91.0,4404533134,0.13778716587474768
7,139.91.13.0,4360184321,0.13639980038849245
13,139.91.253.0,3294661676,0.10306701778399793
76,139.91.78.0,3133018589,0.09801033137402455
78,139.91.65.0,2694624079,0.08429602040615781
131,139.91.119.0,2491203312,0.07793240135454156
66,139.91.103.0,2159364073,0.06755146269957013
6,139.91.108.0,2149714838,0.06724960533965013
18,139.91.72.0,1981619292,0.061991066426474985
72,139.91.23.0,1913847401,0.0598709559623764
79,139.91.204.0,1812251361,0.05669272344832455
126,139.91.2.0,1636147209,0.05118365103028612
41,139.91.219.0,1367949536,0.04279361373629664
109,139.91.7.0,1180204416,0.03692037650442652
39,139.91.207.0,1163587362,0.03640054461618998
74,139.91.86.0,1137343961,0.035579571374147266
46,139.91.29.0,1083395793,0.033891908925776926
16,139.91.105.0,1057827300,0.033092048854578206
34,139.91.18.0,1006313467,0.03148053979414596
77,139.91.87.0,988620776,0.03092705871557959
71,139.91.0.0,951776782,0.02977446674764135
62,139.91.106.0,879980572,0.02752846336987491
15,139.91.28.0,814924908,0.0254933247311245
26,139.91.255.0,807199885,0.025251662563284115
11,139.91.62.0,781855682,0.024458818964091366
21,139.91.3.0,762548807,0.023854841310338964
120,139.91.107.0,702228093,0.021967826279973388
29,139.91.46.0,688118365,0.021526431159710552
17,139.91.83.0,663674813,0.020761762657618175
43,139.91.15.0,575684118,0.01800914663259378
49,139.91.81.0,568257118,0.017776807528807222
30,139.91.19.0,535711248,0.01675867392603978
32,139.91.129.0,533312853,0.016683644850393337
147,139.91.71.0,506010196,0.015829534865423395
33,139.91.213.0,504823303,0.01579240524970904
84,139.91.252.0,463791938,0.014508819606617743
106,139.91.130.0,461409651,0.014434294438105238
69,139.91.99.0,459529314,0.01437547178920303
54,139.91.210.0,415670781,0.013003443749535184
83,139.91.128.0,407461780,0.012746641280796401
59,139.91.131.0,404864208,0.012665381344011553
45,139.91.100.0,400922994,0.012542088206999164
139,139.91.164.0,393924007,0.01232313864903582
3,139.91.89.0,375861077,0.011758075370732427
101,139.91.33.0,370741523,0.011597920181807306
27,139.91.52.0,366594869,0.011468200258005913
70,139.91.6.0,364622888,0.011406510706609103
24,139.91.254.0,359884728,0.011258286679680691
56,139.91.63.0,315432415,0.009867683399263366
36,139.91.143.0,294210571,0.009203799702527389
47,139.91.14.0,284496300,0.008899907819118242
123,139.91.163.0,263177406,0.008232988103798383
58,139.91.22.0,251040890,0.007853321044348917
75,139.91.61.0,218957457,0.006849653874614701
92,139.91.60.0,211541210,0.0066176511573076136
95,139.91.58.0,205873724,0.006440354992239235
40,139.91.85.0,195057664,0.006101995804558931
61,139.91.16.0,175701384,0.005496472612443455
96,139.91.4.0,168188207,0.0052614376305167325
60,139.91.206.0,164374972,0.005142148065089571
28,139.91.165.0,157538842,0.004928293168419531
38,139.91.183.0,133684195,0.0041820474022791435
48,139.91.17.0,126202252,0.003947989514679562
138,139.91.225.0,122633094,0.003836335418679478
103,139.91.218.0,114486481,0.003581484635952145
119,139.91.114.0,113509419,0.0035509191708351525
89,139.91.127.0,111890819,0.003500284449764879
68,139.91.69.0,109437752,0.003423545068007995
118,139.91.216.0,106497821,0.003331575102512598
111,139.91.205.0,105946215,0.003314319192497345
19,139.91.112.0,102990656,0.0032218603357249886
113,139.91.57.0,97879065,0.003061954253610619
20,139.91.24.0,85860084,0.0026859640457248444
51,139.91.134.0,85121297,0.002662852545863641
104,139.91.181.0,85063369,0.002661040382189998
57,139.91.238.0,80024157,0.002503398534893585
31,139.91.182.0,76974311,0.0024079900945641096
99,139.91.77.0,71175008,0.0022265702936207026
64,139.91.178.0,69930088,0.0021876254172121983
100,139.91.92.0,67480360,0.002110990489510457
98,139.91.132.0,62962986,0.0019696733188320284
23,139.91.98.0,61106558,0.0019115986160227827
102,139.91.215.0,58886497,0.0018421483692082567
135,139.91.10.0,47784569,0.0014948463627692
90,139.91.20.0,46787274,0.001463647947997312
88,139.91.11.0,40390883,0.0012635494220233799
44,139.91.68.0,39075544,0.0012224016255462686
86,139.91.84.0,30212572,0.0009451409588752926
133,139.91.122.0,29657043,0.0009277623255122331
112,139.91.233.0,29173459,0.0009126343501297747
122,139.91.179.0,24333556,0.0007612274933324322
127,139.91.180.0,22366783,0.0006997008639838936
121,139.91.168.0,17580162,0.0005499608298778065
81,139.91.208.0,17408658,0.0005445956641775494
37,139.91.96.0,17080190,0.0005343201881114982
53,139.91.59.0,14205232,0.0004443827752740147
136,139.91.220.0,10685304,0.000334268743105817
110,139.91.188.0,10090197,0.00031565198976838516
152,139.91.74.0,9306988,0.00029115083490941586
80,139.91.135.0,8694821,0.00027200039298835697
52,139.91.184.0,8587958,0.0002686573939782664
117,139.91.41.0,8346091,0.0002610910600593835
128,139.91.166.0,7141460,0.000223406545863409
55,139.91.217.0,7076766,0.0002213827211723672
73,139.91.70.0,6548095,0.0002048442875736137
148,139.91.123.0,4250784,0.00013297742627578184
50,139.91.239.0,3770008,0.00011793729365667786
144,139.91.125.0,3422192,0.00010705655342204415
42,139.91.80.0,3028342,9.473572993660788e-05
141,139.91.152.0,2915662,9.121075750969672e-05
94,139.91.124.0,2805702,8.777087493902624e-05
116,139.91.102.0,2614012,8.177422988653602e-05
137,139.91.12.0,2544755,7.960766070504342e-05
149,139.91.32.0,2455768,7.682387723545216e-05
130,139.91.101.0,2448908,7.660927561272753e-05
114,139.91.8.0,2448508,7.65967623985745e-05
93,139.91.76.0,2385596,7.462868407658449e-05
150,139.91.250.0,2276744,7.122346310911791e-05
140,139.91.118.0,2271582,7.106198008047294e-05
134,139.91.189.0,2254836,7.053811436995596e-05
82,139.91.145.0,2252999,7.048064743395812e-05
143,139.91.174.0,2197154,6.873364632301694e-05
105,139.91.190.0,2176926,6.810085308329774e-05
125,139.91.113.0,2170314,6.7894009653348e-05
108,139.91.136.0,2071136,6.479142077017269e-05
67,139.91.47.0,1663247,5.2031414751000136e-05
97,139.91.75.0,1306056,4.085739605965454e-05
132,139.91.153.0,1224141,3.829484621628901e-05
151,139.91.144.0,1110184,3.472992535319428e-05
107,139.91.79.0,1020188,3.191457730090199e-05
129,139.91.109.0,877844,2.746162491240144e-05
146,139.91.5.0,810748,2.536265837037064e-05
153,139.91.173.0,678744,2.1233172567726163e-05
145,139.91.232.0,464956,1.4545234999351281e-05
124,139.91.90.0,348337,1.0897038696068072e-05
65,139.91.214.0,120256,3.7619727029697164e-06
142,139.91.56.0,34106,1.0669392047588907e-06
160,139.91.35.0,34012,1.0639985994329264e-06
161,139.91.48.0,33220,1.0392224354099088e-06
168,139.91.51.0,31724,9.92423014477542e-07
162,139.91.49.0,31328,9.80034932466033e-07
165,139.91.50.0,31284,9.786584789091988e-07
158,139.91.55.0,31108,9.731526646818614e-07
159,139.91.34.0,29612,9.263532437494948e-07
157,139.91.54.0,29524,9.236003366358262e-07
170,139.91.53.0,22352,6.992384068718326e-07
209,139.91.43.0,21296,6.662035215078091e-07
169,139.91.142.0,21252,6.648270679509747e-07
228,139.91.212.0,21208,6.634506143941404e-07
