,sender prefixes,nb of packets,% of traffic (packets)
0,139.91.110.0,240282299,6.314489943418078
1,139.91.67.0,158281241,4.159546120067018
91,139.91.126.0,136773001,3.5943211087122604
8,139.91.31.0,106651410,2.802741852808551
2,139.91.117.0,86078889,2.262107034905226
10,139.91.193.0,75532727,1.9849595539305338
5,139.91.154.0,57918537,1.522068088020033
35,139.91.21.0,27724596,0.7285875129209126
115,139.91.64.0,25533911,0.6710174860847
14,139.91.97.0,25114747,0.6600020809813766
4,139.91.115.0,24543467,0.6449891489847676
25,139.91.1.0,22124355,0.5814161831043221
39,139.91.207.0,18256447,0.4797696353989236
109,139.91.7.0,18014534,0.4734122915078445
12,139.91.120.0,14934346,0.39246660291246005
85,139.91.237.0,14466511,0.3801721500336028
22,139.91.9.0,13616025,0.3578218341078431
6,139.91.108.0,12227631,0.3213355844465561
87,139.91.167.0,12209444,0.3208576398410696
147,139.91.71.0,10645277,0.27975217001481983
16,139.91.105.0,9064080,0.23819916092253196
79,139.91.204.0,8783730,0.23083171328696037
7,139.91.13.0,7719159,0.20285535838470212
13,139.91.253.0,7585944,0.19935453963395244
62,139.91.106.0,7300602,0.191855904915817
18,139.91.72.0,6785520,0.17831982621767006
43,139.91.15.0,6783350,0.17826279978153955
21,139.91.3.0,6709220,0.17631470314082287
72,139.91.23.0,5986983,0.15733470214930398
54,139.91.210.0,5900277,0.1550561149736668
33,139.91.213.0,5384343,0.14149764617248617
71,139.91.0.0,5300089,0.13928349624173017
9,139.91.91.0,5186472,0.13629770241968364
46,139.91.29.0,4915522,0.12917728174246543
34,139.91.18.0,4747773,0.12476892799386724
76,139.91.78.0,4743922,0.12466772577933331
84,139.91.252.0,4733929,0.12440511509903274
126,139.91.2.0,4699122,0.12349040580760652
63,139.91.160.0,4378023,0.11505209630757297
74,139.91.86.0,4101550,0.10778653415259032
30,139.91.19.0,3927332,0.10320817855361043
70,139.91.6.0,3825079,0.10052102455653499
15,139.91.28.0,3612393,0.09493175054968932
69,139.91.99.0,3347493,0.08797032062758153
41,139.91.219.0,3093092,0.08128479879438356
29,139.91.46.0,2799178,0.07356089651380075
11,139.91.62.0,2617553,0.06878788892753113
131,139.91.119.0,2587855,0.06800744141591633
83,139.91.128.0,2376317,0.06244833623334616
27,139.91.52.0,2320038,0.06096935429832803
